"diputadoId";"nombre";"distrito";"sexo";"imagen"
555;"FERNANDEZ, Pablo Damian";"La Pampa";"m";
556;"FERNANDEZ, Roberto Carlos";"Buenos Aires";"m";
557;"FERNANDEZ, Roberto Enrique";"Buenos Aires";"m";
558;"FERNANDEZ, Rodolfo Alfredo";"Corrientes";"m";"A4760.jpg"
559;"FERRA DE BARTOL, Margarita";"San Juan";"f";"A4524.jpg"
560;"FERRADAS, Miguel Enrique";"Catamarca";"m";
561;"FERRARI de GRAND, Teresa Hortensia";"Entre Ríos";"f";
562;"FERRARI, Gustavo Alfredo";"Buenos Aires";"m";"A4767.jpg"
563;"FERRERO, Fernanda";"Cdad.Aut.Bs.As.";"f";
564;"FERREYRA, Araceli Susana Del Rosario";"Corrientes";"f";"A50719.jpg"
565;"FERREYRA, Eduardo Mario";"Entre Ríos";"m";
566;"FERREYRA, Mario Felix";"Tierra del Fuego";"m";
567;"FERRI, Gustavo Enrique";"Buenos Aires";"m";"A4419.jpg"
568;"FERRIGNO OBARRIO, Santiago";"La Pampa";"m";"A4349.jpg"
569;"FERRIN, María Teresa";"Jujuy";"f";"A4032.jpg"
570;"FERRO, Francisco José";"Buenos Aires";"m";"A4463.jpg"
571;"FESCINA, Andrés Julian";"Cdad.Aut.Bs.As.";"m";
572;"FIAD, Mario Raymundo";"Jujuy";"m";"A4737.jpg"
573;"FIGUEROA, José Oscar";"Santiago del Estero";"m";"A3490.jpg"
574;"FIGUEROA, Pedro Octavio";"Jujuy";"m";
575;"FILOMENO, Alejandro Oscar";"Buenos Aires";"m";"A4102.jpg"
576;"FIOL, Paulina Esther";"Santa Fe";"f";"A4350.jpg"
577;"FIORE VIÑUALES, María Cristina del Valle";"Salta";"f";"A50744.jpg"
578;"FLORES, Héctor Toty";"Buenos Aires";"m";"A51086.jpg"
579;"FLORES, Rafael Horacio";"Santa Cruz";"m";
580;"FOCO, Isabel Emilia";"Neuquén";"f";
581;"FOGLIA, Teresa Beatriz";"Córdoba";"f";
582;"FOLLONI, Jorge Oscar";"Salta";"m";
583;"FONTANETTO, Beatriz Zulema";"Santa Fe";"f";
584;"FONTDEVILA, Pablo Antonio";"Buenos Aires";"m";
585;"FONTELA, Moises Eduardo";"Buenos Aires";"m";
586;"FORCONI, Juan Carlos";"Santa Fe";"m";"A4758.jpg"
587;"FORESI, Irma Amelia";"Santa Fe";"f";"A4048.jpg"
588;"FORNERON, Lino";"Misiones";"m";
589;"FORTE, Ulises Umberto";"La Pampa";"m";"A4777.jpg"
590;"FORTUNA, Francisco José";"Córdoba";"m";"A4795.jpg"
591;"FRAGOSO, Francisco Ulises";"Chaco";"m";
592;"FRANA, Silvina Patricia";"Santa Fe";"f";"A50968.jpg"
593;"FRANCIONI, Fabián Marcelo";"Córdoba";"m";"A50710.jpg"
594;"FRANCO, Hugo Alberto";"Buenos Aires";"m";"A4351.jpg"
595;"FRANCO, Jorge Daniel";"Misiones";"m";"A50956.jpg"
596;"FRANCOS, Guillermo Alberto";"Cdad.Aut.Bs.As.";"m";
597;"FRIGERI, Rodolfo Anibal";"Buenos Aires";"m";"A3488.jpg"
598;"FRIGERIO, Octavio";"Buenos Aires";"m";
599;"FUNES, Carlos Delcio";"Santa Fe";"m";
600;"FUNES, Teodoro Roberto";"Córdoba";"m";
601;"FURLAN, Francisco Abel";"Buenos Aires";"m";"A50893.jpg"
602;"GABRIELLI, Rodolfo Federíco";"Mendoza";"m";
603;"GAGLIARDI, Josué";"Rio Negro";"m";"A50790.jpg"
604;"GAILLARD, Ana Carolina";"Entre Ríos";"f";"A50833.jpg"
605;"GALANTE, Pedro Jorge Roque";"Entre Ríos";"m";
606;"GALANTINI, Eduardo";"Corrientes";"m";"A4494.jpg"
607;"GALLAND, Gustavo Carlos";"Buenos Aires";"m";
608;"GALLARDO, Miriam Graciela del Valle";"Tucumán";"f";"A4778.jpg"
609;"GALLEGO, Raul Edgardo";"Santiago del Estero";"m";
610;"GALLO, Daniel Oscar";"Tierra del Fuego";"m";"A4411.jpg"
611;"GALLO, Orlando Juan";"Buenos Aires";"m";
612;"GALMARINI, Fernando Nicolás";"Buenos Aires";"m";
613;"GALVALISI, Luis Alberto";"Cdad.Aut.Bs.As.";"m";"A4557.jpg"
614;"GALVAN, Raul Alfredo";"La Rioja";"m";
615;"GAMBARO, Natalia";"Buenos Aires";"f";"A4768.jpg"
616;"GAN, Fernando";"Entre Ríos";"m";
617;"GARAY, Nicolás Alfredo";"Corrientes";"m";
618;"GARCIA CUEVA, Ignacio S.";"Buenos Aires";"m";
619;"GARCIA de CANO, Maria Isabel";"Entre Ríos";"f";
620;"GARCIA de MORENO, Eva";"Chubut";"f";"A4482.jpg"
621;"GARCIA de NOVELLI, María";"Chubut";"f";
622;"GARCIA HAMILTON, José Ignacio";"Tucumán";"m";
623;"GARCIA LARRABURU, Silvina Marcela";"Rio Negro";"f";"A50742.jpg"
624;"GARCIA MENDEZ, Emilio";"Cdad.Aut.Bs.As.";"m";"A4465.jpg"
625;"GARCIA MERIDA, Miguel Angel";"Buenos Aires";"m";
626;"GARCIA MORENO, Miguel Angel";"Cdad.Aut.Bs.As.";"m";
627;"GARCIA, Andrea Fabiana";"Buenos Aires";"f";"A50681.jpg"
628;"GARCIA, Eduardo Daniel";"Córdoba";"m";"A4103.jpg"
629;"GARCIA, Francisco Alberto";"Mendoza";"m";
630;"GARCIA, Irma Adriana";"La Pampa";"f";"A4648.jpg"
631;"GARCIA, María Teresa";"Buenos Aires";"f";"A4447.jpg"
632;"GARCIA, Pedro Alberto";"Buenos Aires";"m";"A4447.jpg"
633;"GARCIA, Susana Rosa";"Santa Fe";"f";"A4352.jpg"
634;"GARDELLA, Patricia Susana";"Buenos Aires";"f";"A4696.jpg"
635;"GARGIULO, Pablo";"San Juan";"m";
636;"GARIGLIO, Juan Miguel";"Santa Fe";"m";
637;"GARIN de TULA, Lucia";"Catamarca";"f";"A4353.jpg"
638;"GARNERO, Estela Ramona";"Córdoba";"f";"A4803.jpg"
639;"GARRAMUÑO, Jorge Alberto";"Tierra del Fuego";"m";"A50763.jpg"
640;"GARRÉ, Nilda Celia";"Cdad.Aut.Bs.As.";"f";"A50922.jpg"
641;"GARRETÓN, Facundo";"Tucumán";"m";"A50980.jpg"
642;"GARRIDO ARCEO, Jorge Antonio";"Buenos Aires";"m";"A4385.jpg"
643;"GARRIDO, Manuel";"Cdad.Aut.Bs.As.";"m";"A50709.jpg"
61;"ALONSO, Gumersindo Federico";"Córdoba";"m";"A4315.jpg"
62;"ALONSO, Horacio Fernando";"Buenos Aires";"m";"A51002.jpg"
63;"ALONSO, Laura";"Cdad.Aut.Bs.As.";"f";"A4732.jpg"
64;"ALONSO, María Luz";"La Pampa";"f";"A50729.jpg"
65;"ALSOGARAY, Alvaro Carlos";"Cdad.Aut.Bs.As.";"m";
66;"ALTERACH, Miguel Angel";"Misiones";"m";
67;"ALVAREZ ECHAGUE, Raul A.";"Buenos Aires";"m";
68;"ALVAREZ GARCIA, Normando";"Jujuy";"m";
69;"ALVAREZ RODRIGUEZ, Cristina";"Buenos Aires";"f";"A50892.jpg"
70;"ALVAREZ, Carlos Alberto";"Cdad.Aut.Bs.As.";"m";
71;"ALVAREZ, Carlos Raúl";"Buenos Aires";"m";
72;"ALVAREZ, Elsa María";"Santa Cruz";"f";"A4762.jpg"
73;"ALVAREZ, Hector Claudio";"Misiones";"m";
74;"ALVAREZ, Jorge Mario";"Santa Fe";"m";"A4740.jpg"
75;"ALVAREZ, Juan José";"Buenos Aires";"m";"A4316.jpg"
76;"ALVAREZ, Roque Tobías";"Tucumán";"m";"A4071.jpg"
77;"ALVARO, Héctor Jorge";"Mendoza";"m";"A4628.jpg"
78;"AMADEO, Eduardo Pablo";"Buenos Aires";"m";"A4812.jpg"
79;"AMENTA, Marcelo Eduardo";"Buenos Aires";"m";"A4703.jpg"
80;"AMSTUTZ, Guillermo";"Mendoza";"m";"A4072.jpg"
81;"ANAUATE, Carlos Alfredo";"Santiago del Estero";"m";"A4579.jpg"
82;"ANCARANI, Hilda Norma";"Buenos Aires";"f";
83;"ANTELO, José María";"Santa Fe";"m";
84;"ARAGON, Santiago";"Buenos Aires";"m";
85;"ARAGONES de JUAREZ, Mercedes";"Santiago del Estero";"f";
86;"ARAMBURU, Guillermo Raul";"Santa Fe";"m";
87;"ARANDA, Saturnino Dantti";"Santa Fe";"m";
88;"ARBO, José Ameghino";"Corrientes";"m";"A4607.jpg"
89;"ARDID, Mario Rolando";"Córdoba";"m";"A4576.jpg"
90;"ARENA, Celia Isabel";"Santa Fe";"f";"A4827.jpg"
91;"ARENAS, Berta Hortensia";"San Luis";"f";"A50859.jpg"
92;"ARETA, María Josefa";"Corrientes";"f";"A4673.jpg"
93;"ARGÜELLO, Jorge";"Cdad.Aut.Bs.As.";"m";"A4317.jpg"
94;"ARGÜELLO, Octavio";"Buenos Aires";"m";"A4693.jpg"
